entity_type,player_tag,clan_tag,country,error
player,#VUCCU0LQJ,#QLRPYG9C,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#209VQUY28Q,#R2V8U0PC,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#Y2JPJ089,#8QPJGUY8,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#2LLR0C20P,#8QPJGUY8,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#V0YVVV2GG,#QLRPYG9C,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#V88LRVPLU,#GY0RY82R,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#VPCCUV9PR,#GY0RY82R,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#VP9YYY8GV,#GY0RY82R,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#202J8LYPL9,#GVUCGV00,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#9QUR2JUYV,#GVUCGV00,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#UJJUPQCLY,#GPQJ0LVR,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#VGLGYGVJV,#GPQJ0LVR,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#20CRYL9R0,#GPQJ0LVR,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#CQGQRY92G,#GPQJ0LVR,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#20JCUVYGQ2,#GPQJ0LVR,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#QJPJJG002,#GPQJ0LVR,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#20QJQG2UUY,#GPQJ0LVR,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#UVVPGRPVR,#GPQJ0LVR,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#20PLL8280J,#GPQJ0LVR,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#U9GQ2Q2JR,#GPQJ0LVR,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#JCPCVRCYL,#GPQJ0LVR,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#V9PRUYPY0,#GPQJ0LVR,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#ULGCVU9V0,#GJ8GUL8R,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#JLPLRQYQR,#R0UJRJQ2,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#9GCJ09GPQ,#R0UJRJQ2,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#2000YRQRPC,#GJ8GUL8R,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#JLPLJRPUP,#R0UJRJQ2,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#V0LPYJC2J,#R0UJRJQ2,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#VP88YC80Q,#R0UJRJQ2,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#V2UYJ02VC,#GG90CUQ8,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#VPU0YGP02,#GG90CUQ8,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#20QULL8UGL,#R0UJRJQ2,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#200LRYQU9Q,#GG90CUQ8,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#VG0YQJ8JY,#GYJVGGYC,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#GCG00VCVG,#GYJ9UG2V,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#20VPPCGCYV,#GYJ9UG2V,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#RVYPGUJ8L,#LVUPQCJQ,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#VQP0YRPVR,#GYJ9UG2V,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#U2288GL2G,#LVUPQCJQ,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#UV0VRP209,#LVUPQCJQ,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#UV80LRG0V,#LVUPQCJQ,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#VCU9UQ8UR,#QCVPVL9L,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#VLGV2YCCV,#LVUPQCJQ,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
